id,Domain,Goal,Plan
188,"[[-95.85655826530612, 40.67577848979592], [-96.70259666824585, 40.80893304838322]]","Grand Army of the Republic (G.A.R.) Memorial Hall (Nebraska City, NE) to Nebraska Telephone Company Building (Lincoln, NE)","[['Drive west on 1st Corso.', 'Turn left onto South 16th Street.', 'Turn right onto 4th Corso/NE 2 Business.', 'Keep left at the fork.', 'Keep left to take NE 2 West.', 'Take the exit on the right toward To Lincoln via Nebraska Parkway.', 'Keep right to take Nebraska Parkway toward To Lincoln via Nebraska Parkway.', 'Turn right onto South 13th Street.', 'You have arrived at your destination.'], ['Drive west on 1st Corso.', 'Turn right onto South 11th Street/US 75 Business. Continue on US 75 Business.', 'Turn right onto US 75/North 58th Road. Continue on US 75.', 'Turn left onto O Street/US 34. Continue on US 34.', 'Turn left onto South Antelope Valley Parkway.', 'Turn right onto L Street.', 'Turn left onto South 13th Street.', 'Turn left onto Lincoln Mall.', 'Make a left U-turn to stay on Lincoln Mall.', 'Turn right onto South 13th Street.', 'You have arrived at your destination.'], ['Drive west on 1st Corso.', 'Turn right onto South 11th Street/US 75 Business. Continue on US 75 Business.', 'Turn right onto US 75/North 58th Road. Continue on US 75.', 'Turn left onto O Street/US 34. Continue on US 34.', 'Turn left onto South Antelope Valley Parkway.', 'Turn right onto L Street.', 'Turn left onto South 13th Street.', 'Turn left onto Lincoln Mall.', 'Make a left U-turn to stay on Lincoln Mall.', 'Turn right onto South 13th Street.', 'You have arrived at your destination.']]"
189,"[[-93.23951397959183, 41.6785125510204], [-93.76852658, 41.02611913]]","Hall, James Norman, House (Colfax, IA) to CLARKE COUNTY PUBLIC HOSPITAL (OSCEOLA, IA)","[['Drive west on East Howard Street.', 'Turn right onto North Maple Street.', 'Turn left after 59 meters or 10-13 seconds.', 'Turn right onto North Walnut Street/IA 117.', 'Turn left to take the I 80 ramp.', 'You have arrived at your destination.'], ['Drive west on East Howard Street.', 'Turn left onto North Lincoln Street.', 'Turn left onto East Washington Street.', 'Turn right after 62 meters or 7-9 seconds.', 'Turn left onto East State Street/IA 117.', 'Turn right onto South League Road/IA 117.', 'Turn right onto East 2nd Street/IA 117.', 'Turn right to take the IA 163 ramp.', 'Turn left to take the Military Order of the Purple Heart Highway ramp.', 'Keep right to take I 35 South toward Kansas City.', 'You have arrived at your destination.'], ['Drive west on East Howard Street.', 'Turn left onto North Lincoln Street.', 'Turn left onto East Washington Street.', 'Turn right after 62 meters or 7-9 seconds.', 'Turn left onto East State Street/IA 117.', 'Turn right onto South League Road/IA 117.', 'Turn right after 8501 meters or 373-456 seconds.', 'Turn left onto South Marshall Street.', 'Turn right onto East 2nd Street/IA 117.', 'Turn right to take the IA 163 ramp.', 'Turn left to take the Military Order of the Purple Heart Highway ramp.', 'Keep right to take I 35 South toward Kansas City.', 'You have arrived at your destination.']]"
190,"[[-72.58000930583978, 41.90032885], [-72.7432083, 41.8129234]]","East Windsor Academy (East Windsor, CT) to Connecticut General Life Insurance Company Headquarters (Bloomfield, CT)","[['Drive west.', 'Turn right onto Scantic Road/CT 191.', 'Bear left onto Wells Road.', 'Bear left onto Winkler Road.', 'Turn left onto North Road/CT 140. Continue on CT 140.', 'Turn left to take the I 91 South ramp toward Hartford.', 'Keep right to stay on I 91 South/Special Agent Richard P. Horan Memorial Highway.', 'Take exit 36 on the right onto CT 178 toward Park Avenue.', 'Turn right onto Park Avenue/CT 178. Continue on CT 178.', 'Turn right onto Park Avenue/CT 178.', 'Turn left onto Tyler Street.', 'Turn right onto Cottage Grove Road/CT 218 West.', 'Turn left onto Bay Hill Drive.', 'Turn right onto Cigna Drive.', 'Turn left after 482 meters or 49-60 seconds.', 'Turn right after 78 meters or 27-33 seconds.', 'Turn right after 145 meters or 33-41 seconds.', 'Turn left after 33 meters or 17-21 seconds.', 'You have arrived at your destination.'], ['Drive west.', 'Turn left onto Scantic Road/CT 191. Continue on Scantic Road.', 'Turn left onto US 5/John Fitch Boulevard.', 'Take the I 291 West ramp on the right toward I 91/Windsor.', 'Keep left to stay on I 291 West/Vietnam Veterans Memorial Highway toward Bloomfield/Hartford.', 'Keep right to take exit 1 onto CT 218 toward Bloomfield.', 'Turn left onto Putnam Memorial Highway/CT 218. Continue on CT 218.', 'Keep left to take Cottage Grove Road.', 'Turn left onto Bay Hill Drive.', 'Turn right onto Cigna Drive.', 'Turn left after 482 meters or 49-60 seconds.', 'Turn right after 78 meters or 27-33 seconds.', 'Turn right after 145 meters or 33-41 seconds.', 'Turn left after 33 meters or 17-21 seconds.', 'You have arrived at your destination.'], ['Drive west.', 'Turn left onto Scantic Road/CT 191. Continue on Scantic Road.', 'Turn right after 1348 meters or 80-97 seconds.', 'Turn left after 15 meters or 6-7 seconds.', 'Turn right onto Scantic Road.', 'Turn left onto US 5/John Fitch Boulevard.', 'Take the I 291 West ramp on the right toward I 91/Windsor.', 'Keep left to stay on I 291 West/Vietnam Veterans Memorial Highway toward Bloomfield/Hartford.', 'Keep right to take exit 1 onto CT 218 toward Bloomfield.', 'Turn left onto Putnam Memorial Highway/CT 218. Continue on CT 218.', 'Keep left to take Cottage Grove Road.', 'Turn left onto Bay Hill Drive.', 'Turn right onto Cigna Drive.', 'Turn left after 482 meters or 49-60 seconds.', 'Turn right after 78 meters or 27-33 seconds.', 'Turn right after 145 meters or 33-41 seconds.', 'Turn left after 33 meters or 17-21 seconds.', 'You have arrived at your destination.']]"
191,"[[-72.8205874, 41.722119], [-72.78170204802383, 41.6650052]]","Hill-Stead (Farmington, CT) to South Congregational Church (New Britain, CT)","[['Drive west.', 'Turn right after 36 meters or 12-14 seconds.', 'Turn right onto High Street.', 'Turn right onto Farmington Avenue/CT 4/Colonel Everett H. Kandarian Memorial Highway. Continue on Farmington Avenue.', 'Stay straight to take the ramp toward Waterbury.', 'Keep right to take I 84 West toward Waterbury.', 'Take exit 37 on the right toward Fienemann Road.', 'Bear right onto Fienemann Road.', 'Turn left onto Main Street.', 'Turn right onto Arch Street.', 'You have arrived at your destination.'], ['Drive west.', 'Turn right after 36 meters or 12-14 seconds.', 'Turn left onto High Street.', 'Turn right onto Mountain Road.', 'Turn left onto CT 10/Main Street. Continue on CT 10.', 'Turn left onto Hooker Street.', 'Take the ramp toward I 84/CT 72 East.', 'Keep left to stay on CT 72 South.', 'Keep left to take exit 35 onto CT 72 South/Tadeusz Kosciuszko Highway toward CT 9/New Britain.', 'Take exit 1D on the right toward Downtown New Britain.', 'Turn right onto Washington Street.', 'Turn left onto West Main Street.', 'Turn right onto Main Street.', 'Turn right onto Arch Street.', 'You have arrived at your destination.'], ['Drive west.', 'Turn right after 36 meters or 12-14 seconds.', 'Turn left onto High Street.', 'Turn right after 97 meters or 11-14 seconds.', 'Turn right onto High Street.', 'Turn right onto Mountain Road.', 'Turn left onto CT 10/Main Street. Continue on CT 10.', 'Turn left onto Hooker Street.', 'Take the ramp toward I 84/CT 72 East.', 'Keep left to stay on CT 72 South.', 'Keep left to take exit 35 onto CT 72 South/Tadeusz Kosciuszko Highway toward CT 9/New Britain.', 'Take exit 1D on the right toward Downtown New Britain.', 'Turn right onto Washington Street.', 'Turn left onto West Main Street.', 'Turn right onto Main Street.', 'Turn right onto Arch Street.', 'You have arrived at your destination.']]"
192,"[[-87.6148408250301, 41.8182942], [-87.669279589548, 42.0290738]]","Williams, Dr. Daniel Hale, House (Chicago, IL) to Sheridan Square Apartments (Evanston, IL)","[['Drive east on East 42nd Street.', 'Turn left onto South Vincennes Avenue.', 'Turn right onto East Oakwood Boulevard.', 'Turn right to stay on East Oakwood Boulevard.', 'Turn left to take the US 41 ramp.', 'Take the exit on the right toward 18th Drive/Soldier Field/Burnham Harbour/McCormick Place Parking.', 'Turn right to take the ramp toward I 290/Randolph Street/Wacker Drive.', 'Keep left toward Lower Wacker Drive.', 'Keep left to take East Lower Wacker Drive.', 'Turn right onto North Lower Michigan Avenue.', 'Turn left onto East Grand Avenue.', 'Turn right onto North Rush Street.', 'Turn right onto East Oak Street.', 'Turn left onto North Lake Shore Drive.', 'Bear right onto Inner North Lake Shore Drive.', 'Turn right onto West LaSalle Drive/IL 64.', 'Stay straight to take the US 41 North ramp.', 'Take the exit on the right toward Fullerton Parkway.', 'Bear right toward Wilson Avenue.', 'Bear right onto US 41/North Jean Baptiste Point DuSable Lake Shore Drive.', 'Bear right toward Lawrence Avenue.', 'Bear right onto North Jean Baptiste Point DuSable Lake Shore Drive.', 'Turn right onto North Sheridan Road.', 'Turn right to stay on North Sheridan Road.', 'Turn right onto Sheridan Road.', 'Turn right onto Sheridan Square.', 'You have arrived at your destination.'], ['Drive west on East 42nd Street.', 'Turn left after 88 meters or 10-12 seconds.', 'Turn right onto East 43rd Street.', 'Turn right onto South La Salle Street.', 'Take the I 90 West/I 94 West ramp.', 'Keep right to stay on I 90 West/I 94 West.', 'Take exit 48A on the right toward Armitage Avenue.', 'Turn right onto West Armitage Avenue.', 'Turn left onto North Ashland Avenue.', 'Turn right onto West Fullerton Avenue.', 'Turn left onto North Southport Avenue.', 'Bear left onto North Clark Street.', 'Turn left onto West Wilson Avenue.', 'Turn right onto North Ashland Avenue.', 'Turn left onto West Lawrence Avenue.', 'Turn right onto North Ravenswood Avenue.', 'Turn left onto West Peterson Avenue/US 14.', 'Turn right onto North Ravenswood Avenue.', 'Turn right onto West Touhy Avenue.', 'Turn left onto North Sheridan Road.', 'Turn right onto Sheridan Road.', 'Turn right onto Sheridan Square.', 'You have arrived at your destination.'], ['Drive west on East 42nd Street.', 'Turn left after 88 meters or 10-12 seconds.', 'Turn right onto East 43rd Street.', 'Turn right onto South La Salle Street.', 'Take the I 90 West/I 94 West ramp.', 'Keep right to stay on I 90 West/I 94 West.', 'Take exit 49A on the right toward Division Street.', 'Take exit 48A on the right toward Armitage Avenue.', 'Turn right onto West Armitage Avenue.', 'Turn left onto North Ashland Avenue.', 'Turn right onto West Fullerton Avenue.', 'Turn left onto North Southport Avenue.', 'Bear left onto North Clark Street.', 'Turn left onto West Wilson Avenue.', 'Turn right onto North Ashland Avenue.', 'Turn left onto West Lawrence Avenue.', 'Turn right onto North Ravenswood Avenue.', 'Turn left onto West Peterson Avenue/US 14.', 'Turn right onto North Ravenswood Avenue.', 'Turn right onto West Touhy Avenue.', 'Turn left onto North Sheridan Road.', 'Turn right onto Sheridan Road.', 'Turn right onto Sheridan Square.', 'You have arrived at your destination.']]"
193,"[[-79.8603973389, 41.3778991699], [-80.085172, 41.170999]]","Venango Regional Airport (FRANKLIN, PA) to GROVE CITY MEDICAL CENTER (GROVE CITY, PA)","[['Drive east.', 'Bear left onto Airport Road.', 'Turn right onto PA 8 South/15th Street. Continue on PA 8 South.', 'Turn right to take the I 80 ramp.', 'Take exit 24 on the right onto PA 173 toward Grove City/Sandy Lake.', 'Turn left onto Sandy Lake Road/PA 173. Continue on PA 173.', 'Turn right after 3753 meters or 185-226 seconds.', 'You have arrived at your destination.'], ['Drive east.', 'Bear left onto Airport Road.', 'Turn right onto PA 8 South/15th Street. Continue on PA 8 South.', 'Take the exit on the right toward Nectarine/Wesley.', 'Turn left onto Georgetown Road.', 'Turn right onto Clintonville Road/PA 208. Continue on PA 208.', 'Turn right onto North Broad Street/PA 173.', 'Turn left after 464 meters or 32-40 seconds.', 'You have arrived at your destination.'], ['Drive east.', 'Bear left onto Airport Road.', 'Turn right onto PA 8 South/15th Street. Continue on PA 8 South.', 'Take the exit on the right toward Nectarine/Wesley.', 'Turn left onto Georgetown Road.', 'Turn left after 3385 meters or 171-209 seconds.', 'Turn left onto Georgetown Road.', 'Turn right onto Clintonville Road/PA 208. Continue on PA 208.', 'Turn right onto North Broad Street/PA 173.', 'Turn left after 464 meters or 32-40 seconds.', 'You have arrived at your destination.']]"
194,"[[-81.53516139, 35.91060653], [-80.4846287289516, 35.665857]]","CALDWELL MEMORIAL HOSPITAL (LENOIR, NC) to Boyden High School (Salisbury, NC)","[['Drive northeast.', 'Turn right after 51 meters or 7-8 seconds.', 'Turn right after 19 meters or 7-9 seconds.', 'Turn left onto Mulberry Street Southwest.', 'Turn left onto Morganton Boulevard/US 64/NC 18. Continue on US 64/NC 18.', 'Turn right onto Harper Avenue/US 64/NC 18. Continue on US 64/NC 18.', 'Turn right onto US 64/NC 90/Taylorsville Road Southeast.', 'Exit the roundabout onto US 64.', 'Bear right onto US 70/Garner Bagnal Boulevard.', 'Turn right onto Barringer Road.', 'Exit the roundabout onto Sherrills Ford Road.', 'Turn left onto Mooresville Road/NC 150.', 'Turn left onto Lincolnton Road.', 'Turn left onto Caldwell Road.', 'Turn left onto Taylor Street.', 'You have arrived at your destination.'], ['Drive northeast.', 'Turn right after 51 meters or 7-8 seconds.', 'Turn right after 19 meters or 7-9 seconds.', 'Turn left onto Mulberry Street Southwest.', 'Turn left onto Morganton Boulevard/US 64/NC 18.', 'Turn right onto Norwood Street Southwest.', 'Turn left onto Hibriten Drive Southwest.', 'Turn right to take the US 321 ramp.', 'Take exit 44 on the right onto US 70 toward NC 127/Hickory.', 'Turn left onto US 70 Southwest/US 70/US 321 Business. Continue on US 70/US 321 Business.', 'Turn left onto Lenoir Rhyne Boulevard Southeast.', 'Take the I 40 ramp on the right.', 'You have arrived at your destination.'], ['Drive northeast.', 'Turn right after 51 meters or 7-8 seconds.', 'Turn right after 19 meters or 7-9 seconds.', 'Turn left onto Mulberry Street Southwest.', 'Turn left onto Morganton Boulevard/US 64/NC 18. Continue on US 64/NC 18.', 'Turn right onto Harper Avenue/US 64/NC 18.', 'Turn right onto US 321/Hickory Boulevard Southeast.', 'Take exit 44 on the right onto US 70 toward NC 127/Hickory.', 'Turn left onto US 70 Southwest/US 70/US 321 Business. Continue on US 70/US 321 Business.', 'Turn left onto Lenoir Rhyne Boulevard Southeast.', 'Take the I 40 ramp on the right.', 'You have arrived at your destination.']]"
195,"[[-79.96198365, 39.65648602], [-80.607377, 40.277791]]","HEALTHSOUTH MOUNTAINVIEW REGIONAL REHAB HOSPITAL (MORGANTOWN, WV) to Beallmore (Wellsburg, WV)","[['Drive south.', 'Turn right after 15 meters or 5-6 seconds.', 'Turn left onto Van Voorhis Road/WV 705. Continue on WV 705.', 'Turn right onto Monongahela Boulevard/US 19/WV 7.', 'Bear left onto Chaplin Hill Road.', 'Take the I 79 North ramp on the right.', 'You have arrived at your destination.'], ['Drive south.', 'Turn right after 15 meters or 5-6 seconds.', 'Turn left onto Van Voorhis Road/WV 705. Continue on WV 705.', 'Turn right onto Monongahela Boulevard/US 19/WV 7.', 'Bear left onto Chaplin Hill Road.', 'Take the I 79 North ramp on the right.', 'Take exit 19 on the right onto PA 221 toward US 19/Ruff Creek/Jefferson.', 'Take exit 19 onto PA 221 toward US 19/Ruff Creek/Jefferson.', 'Turn left onto Lippencott Road/PA 221.', 'Turn left onto Washington Road/US 19 South/PA 221.', 'Turn right onto Lippencott Road/PA 221. Continue on PA 221.', 'Turn right onto Conger Road/PA 221. Continue on PA 221.', 'Turn left onto Plum Sock Road/PA 221. Continue on PA 221.', 'Turn right onto Prosperity Pike/PA 18 North/PA 221.', 'Bear left onto South Bridge Road/PA 221. Continue on PA 221.', 'Turn right onto Buffalo Creek Road/PA 221.', 'Turn right onto North Road/PA 231.', 'Turn left onto Brush Run Road/PA 231/PA 331.', 'Turn right onto Scenic Drive/PA 231/PA 331.', 'Turn right to stay on Scenic Drive/PA 231.', 'Turn left onto Washington Pike/PA 231/PA 844.', 'Turn right onto Commerce Street/WV 2.', 'Turn right onto 14th Street.', 'Turn left onto Pleasant Avenue.', 'You have arrived at your destination.'], ['Drive south.', 'Turn right after 15 meters or 5-6 seconds.', 'Turn left onto Van Voorhis Road/WV 705. Continue on WV 705.', 'Turn right onto Monongahela Boulevard/US 19/WV 7.', 'Bear left onto Chaplin Hill Road.', 'Take the I 79 North ramp on the right.', 'Take exit 19 on the right onto PA 221 toward US 19/Ruff Creek/Jefferson.', 'Take exit 19 onto PA 221 toward US 19/Ruff Creek/Jefferson.', 'Turn left onto Lippencott Road/PA 221.', 'Turn left onto Washington Road/US 19 South/PA 221.', 'Turn right onto Lippencott Road/PA 221. Continue on PA 221.', 'Bear right after 8671 meters or 445-544 seconds.', 'Bear right onto Dunn Station Road/PA 221. Continue on PA 221.', 'Turn right onto Conger Road/PA 221. Continue on PA 221.', 'Turn left onto Plum Sock Road/PA 221. Continue on PA 221.', 'Turn right onto Prosperity Pike/PA 18 North/PA 221.', 'Bear left onto South Bridge Road/PA 221. Continue on PA 221.', 'Turn right onto Buffalo Creek Road/PA 221.', 'Turn right onto North Road/PA 231.', 'Turn left onto Brush Run Road/PA 231/PA 331.', 'Turn right onto Scenic Drive/PA 231/PA 331.', 'Turn right to stay on Scenic Drive/PA 231.', 'Turn left onto Washington Pike/PA 231/PA 844.', 'Turn right onto Commerce Street/WV 2.', 'Turn right onto 14th Street.', 'Turn left onto Pleasant Avenue.', 'You have arrived at your destination.']]"
196,"[[-96.79294626530611, 46.87243557142857], [-97.31690787, 47.50074328]]","Cass County Courthouse (Fargo, ND) to SANFORD MAYVILLE (MAYVILLE, ND)","[['Drive north on 9th Street South.', 'Turn left after 74 meters or 6-7 seconds.', 'Turn right onto 10th Street South/US 81 Business.', 'Bear right after 56 meters or 9-10 seconds.', 'Turn left onto Main Avenue/I 94 Business/US 10. Continue on Main Avenue/I 94 Business.', 'Take the ramp on the right after 3426 meters or 228-279 seconds.', 'Keep right to take I 29 North/US 81 North.', 'You have arrived at your destination.'], ['Drive north on 9th Street South.', 'Turn left after 74 meters or 6-7 seconds.', 'Turn right onto 10th Street South/US 81 Business.', 'Bear right after 56 meters or 9-10 seconds.', 'Turn left onto Main Avenue/I 94 Business/US 10. Continue on Main Avenue/I 94 Business.', 'Take the ramp on the right after 3426 meters or 228-279 seconds.', 'Keep right to take I 29 North/US 81 North.', 'You have arrived at your destination.'], ['Drive north on 9th Street South.', 'Turn left after 74 meters or 6-7 seconds.', 'Turn right onto 10th Street South/US 81 Business.', 'Bear right after 56 meters or 9-10 seconds.', 'Turn left onto Main Avenue/I 94 Business/US 10. Continue on Main Avenue/I 94 Business.', 'Take the ramp on the right after 3426 meters or 228-279 seconds.', 'Keep right to take I 29 North/US 81 North.', 'You have arrived at your destination.']]"
197,"[[-81.46784, 41.037355], [-81.4863967896, 41.5651016235]]","Akron Fulton International Airport (AKRON, OH) to Cuyahoga County Airport (CLEVELAND, OH)","[['Drive east on Glaser Parkway.', 'Turn right onto Triplett Boulevard/SR 241 South.', 'Exit the roundabout onto Massillon Road.', 'Turn left onto Englewood Avenue.', 'Turn right onto General Street.', 'Turn left onto Brittain Road.', 'Bear right to stay on Brittain Road.', 'Bear left onto Tallmadge Road.', 'Turn right to take the SR 8 North ramp.', 'Keep left to take exit 17 onto I 271 North toward I 90/Erie Pennsylvania.', 'Keep left to take I 271 North/Outerbelt East Freeway toward Erie Pennsylvania.', 'Keep right to stay on I 271 North/Outerbelt East Freeway toward All Exits.', 'Take exit 32 on the right toward Brainard Road/Cedar Road.', 'Keep left toward Brainard Road North.', 'Turn left onto Brainard Road/CR 28.', 'Turn left onto Curtiss Wright Parkway.', 'Turn left after 1224 meters or 101-124 seconds.', 'You have arrived at your destination.'], ['Drive east on Glaser Parkway.', 'Turn left onto Triplett Boulevard/SR 241 North.', 'Turn right onto South Seiberling Street/SR 241.', 'Turn left onto East Archwood Avenue.', 'Turn right onto Coventry Street.', 'Take the I 77 North ramp toward Cleveland.', 'Take exit 125B on the right.', 'Keep left to take I 77 North/I 76 West toward Cleveland.', 'Keep left to stay on I 77 North.', 'You have arrived at your destination.'], ['Drive east on Glaser Parkway.', 'Turn left onto Triplett Boulevard/SR 241 North.', 'Turn right onto South Seiberling Street/SR 241.', 'Turn left onto East Archwood Avenue.', 'Turn right onto Coventry Street.', 'Take the I 77 North ramp toward Cleveland.', 'Take exit 125B on the right.', 'Keep left to take I 77 North/I 76 West toward Cleveland.', 'Take exit 22 on the right toward Main Street.', 'Keep left to take I 76 West/I 77 North toward Main Street.', 'Keep left to stay on I 77 North.', 'You have arrived at your destination.']]"
198,"[[-75.21218214285715, 39.95833230612244], [-75.16308833333333, 39.948110666666665]]","WFIL Studio (Philadelphia, PA) to Moore, Clarence B., House (Philadelphia, PA)","[['Drive south.', 'Turn left onto Ludlow Street.', 'Turn right onto South 44th Street.', 'Turn left onto Chestnut Street/PA 3 East. Continue on Chestnut Street.', 'Turn right onto South 17th Street.', 'Turn left onto Locust Street.', 'You have arrived at your destination.'], ['Drive south.', 'Turn left onto Ludlow Street.', 'Turn left onto South 45th Street.', 'Turn right onto Market Street.', 'Turn left onto Powelton Avenue.', 'Bear right onto Lancaster Avenue.', 'Turn right onto North 34th Street.', 'Turn left onto Market Street/PA 3 West. Continue on Market Street.', 'Turn right onto South 21st Street.', 'Turn left onto Chestnut Street.', 'Turn right onto South 17th Street.', 'Turn left onto Locust Street.', 'You have arrived at your destination.'], ['Drive south.', 'Turn left onto Ludlow Street.', 'Turn left onto South 45th Street.', 'Turn right onto Market Street.', 'Turn left onto Powelton Avenue.', 'Bear right onto Lancaster Avenue.', 'Turn left after 444 meters or 40-49 seconds.', 'Turn right after 15 meters or 5-6 seconds.', 'Turn right onto North 34th Street.', 'Turn left onto Market Street/PA 3 West. Continue on Market Street.', 'Turn right onto South 21st Street.', 'Turn left onto Chestnut Street.', 'Turn right onto South 17th Street.', 'Turn left onto Locust Street.', 'You have arrived at your destination.']]"
199,"[[-81.259966, 35.470266], [-81.53925275, 35.287564]]","Shadow Lawn (Lincolnton, NC) to Webbley (Shelby, NC)","[['Drive west on West Main Street/NC 27. Continue on NC 27.', 'Bear left onto NC 182.', 'Turn left onto Baxter Implement Road.', 'Turn right onto Flint Hill Road.', 'Turn left onto Fallston Road/NC 18. Continue on NC 18.', 'Turn left onto North Dekalb Street/NC 18 Truck. Continue on NC 18 Truck.', 'Turn right onto Henderson Street.', 'Turn right onto South Washington Street.', 'You have arrived at your destination.'], ['Drive west on West Main Street/NC 27. Continue on NC 27.', 'Turn left onto State Road 1407.', 'Bear right onto NC 150 West.', 'Bear right onto NC 150/Lincolnton Highway. Continue on NC 150.', 'Exit the roundabout onto NC 150/Cherryville Road.', 'Exit the roundabout onto NC 150/Cherryville Road.', 'Exit the roundabout onto Cherryville Road/NC 150.', 'Turn right onto East Marion Street/US 74 BUS.', 'Turn left onto South Dekalb Street/US 74 Business/NC 150/NC 18 Truck. Continue on South Dekalb Street/NC 150/NC 18 Truck.', 'Turn right onto Henderson Street.', 'Turn right onto South Washington Street.', 'You have arrived at your destination.'], ['Drive west on West Main Street/NC 27. Continue on NC 27.', 'Bear left onto State Road 1407.', 'Bear right onto NC 150 West.', 'Bear right onto NC 150/Lincolnton Highway. Continue on NC 150.', 'Exit the roundabout onto NC 150/Cherryville Road.', 'Exit the roundabout onto NC 150/Cherryville Road.', 'Exit the roundabout onto Cherryville Road/NC 150.', 'Turn right onto East Marion Street/US 74 BUS.', 'Turn left onto South Dekalb Street/US 74 Business/NC 150/NC 18 Truck. Continue on South Dekalb Street/NC 150/NC 18 Truck.', 'Turn right onto Henderson Street.', 'Turn right onto South Washington Street.', 'You have arrived at your destination.']]"
200,"[[-84.281705, 38.387411], [-84.506404, 38.029804]]","Lafferty, William T., House (Cynthiana, KY) to LEXINGTON VA MEDICAL CENTER - COOPER (LEXINGTON, KY)","[['Drive west on East Pike Street/KY 32/KY 36.', 'Turn left onto South Church Street/KY 982.', 'Turn right onto West Bridge Street.', 'Turn left onto South Main Street/KY 32/US 27 Business.', 'Exit the roundabout toward US 62 West/Georgetown.', 'Turn left to take the ramp.', 'Turn left onto West Loudon Avenue.', 'Turn right onto North Broadway/US 27/US 68. Continue on US 27/US 68.', 'Turn left onto West Maxwell Street.', 'Turn right onto South Upper Street.', 'Turn left onto Huguelet Drive.', 'Turn right onto University Drive.', 'Turn right onto Uk Complex Drive.', 'Turn right onto Veterans Drive.', 'Turn left after 71 meters or 11-14 seconds.', 'You have arrived at your destination.'], ['Drive west on East Pike Street/KY 32/KY 36.', 'Turn left onto South Church Street/KY 982.', 'Bear left onto New Lair Road/KY 982. Continue on New Lair Road.', 'Bear left onto Paris Pike/US 27. Continue on US 27.', 'Bear right onto US 27/US 68/Paris By-Pass Road.', 'Turn right onto US 68 Business/Main Street.', 'Turn left onto West Maxwell Street.', 'Turn right onto South Upper Street.', 'Turn left onto Huguelet Drive.', 'Turn right onto University Drive.', 'Turn right onto Uk Complex Drive.', 'Turn right onto Veterans Drive.', 'Turn left after 71 meters or 11-14 seconds.', 'You have arrived at your destination.'], ['Drive west on East Pike Street/KY 32/KY 36.', 'Turn left onto Highland Avenue.', 'Turn right onto Old Lair Road.', 'Turn left onto Webster Avenue.', 'Turn left onto New Lair Road/KY 982. Continue on New Lair Road.', 'Bear left onto Paris Pike/US 27. Continue on US 27.', 'Bear right onto US 27/US 68/Paris By-Pass Road.', 'Turn right onto US 68 Business/Main Street.', 'Turn left onto West Maxwell Street.', 'Turn right onto South Upper Street.', 'Turn left onto Huguelet Drive.', 'Turn right onto University Drive.', 'Turn right onto Uk Complex Drive.', 'Turn right onto Veterans Drive.', 'Turn left after 71 meters or 11-14 seconds.', 'You have arrived at your destination.']]"
