id,start_name,destination_name,start_coordinates,destination_coordinates,plan_length_1,plan_length_2,plan_length_3,average_plan_length,plan_1,plan_2,plan_3
258,"PRIMARY CHILDREN'S MEDICAL CENTER (SALT LAKE CITY, UT)","Arbuckle, George, House (Salt Lake City, UT)","[-111.8388047, 40.77128726]","[-111.89931120458428, 40.73349477943492]",11,26,11,16.0,"['Drive southeast.', 'Turn left onto Mario Capecchi Drive/UT 282.', 'Turn left onto Foothill Drive/UT 186. Continue on UT 186.', 'Take the I 80 exit on the right toward Reno.', 'Keep left to take I 80 West toward Reno.', 'Take exit 122 on the right toward 2100 South.', 'Keep right to take exit 305B toward 2100 South.', 'Turn left onto 2100 South/UT 201.', 'Turn left onto 300 West.', 'Turn right onto 1700 South.', 'You have arrived at your destination.']","['Drive southeast.', 'Turn left onto Mario Capecchi Drive/UT 282.', 'Turn right onto South Campus Drive/UT 282.', 'Turn left onto Campus Center Drive.', 'Turn right after 40 meters or 6-7 seconds.', 'Turn right onto 500 South/UT 186.', 'Turn left onto Guardsman Way.', 'Turn right onto 900 South.', 'Turn left onto 1500 East.', 'Bear left to stay on 1500 East.', 'Turn right onto Harvard Avenue.', 'Turn left onto 1300 East.', 'Turn right onto Laird Avenue.', 'Turn left onto 1100 East.', 'Turn right onto 1300 South.', 'Turn left after 59 meters or 11-14 seconds.', 'Turn right onto Harrison Avenue.', 'Turn left onto McClelland Street.', 'Turn right onto Emerson Avenue.', 'Turn left onto 1000 East.', 'Turn right onto Bryan Avenue.', 'Turn left after 191 meters or 24-30 seconds.', 'Turn right onto Logan Avenue.', 'Turn left onto 900 East.', 'Turn right onto 1700 South.', 'You have arrived at your destination.']","['Drive southeast.', 'Turn left onto Mario Capecchi Drive/UT 282.', 'Turn right onto South Campus Drive/UT 282.', 'Enter the roundabout and take the 2nd exit onto South Campus Drive/UT 282.', 'Turn left after 483 meters or 39-48 seconds.', 'Turn right onto 500 South/UT 186.', 'Make a sharp left onto 400 South.', 'Keep left to stay on 400 South.', 'Turn right onto State Street/US 89.', 'Turn right onto 1700 South.', 'You have arrived at your destination.']"
259,"Stark, Gov. Lloyd Crow, House and Carriage House (Louisiana, MO)","Lance House (Florissant, MO)","[-91.057201, 39.4453]","[-90.3256133, 38.7961514]",11,23,9,14.333333333333334,"['Drive northeast on Georgia Street/US 54 Business.', 'Turn right onto South 3rd Street/MO 79. Continue on MO 79.', 'Take the Salt River Road exit on the right.', 'Turn left onto Pearl Drive.', 'Stay straight to take the MO 370 East ramp.', 'Keep left to take I 270 North toward Chicago.', 'Take exit 25 on the right onto US 67/Lindbergh Blvd.', 'Turn left onto US 67 North/North Lindbergh Boulevard.', 'Turn right onto North Saint Jacques Street.', 'Turn left onto Saint Antoine Street.', 'Your destination is on the right.']","['Drive northeast on Georgia Street/US 54 Business.', 'Turn right onto 14th Street.', 'Turn left onto North Carolina Street.', 'Turn right onto South 9th Street.', 'Turn left onto Maryland Street.', 'Turn right onto South 7th Street.', 'Turn left onto Alabama Street.', 'Turn right onto South 5th Street.', 'Turn left onto Delaware Street.', 'Turn right onto South 3rd Street/MO 79. Continue on MO 79.', 'Take the Salt River Road exit on the right.', 'Turn left onto Pearl Drive.', 'Take the exit on the right after 5556 meters or 259-317 seconds.', 'Keep left at the fork.', 'Continue on Salt River Road.', 'Stay straight to take the MO 370 East ramp.', 'Take exit 9 on the right onto MO 141.', 'Keep left to take MO 141 toward Earth City Expressway.', 'Turn left onto Shackelford Road.', 'Turn right onto Lindsay Lane.', 'Turn left onto Saint Jean Street.', 'Turn right onto Saint Antoine Street.', 'Your destination is on the right.']","['Drive northeast on Georgia Street/US 54 Business.', 'Turn right onto South 3rd Street/MO 79. Continue on MO 79.', 'Take the I 70 East ramp on the right.', 'Keep left to stay on I 70.', 'Keep left to stay on I 70.', 'Take exit 235B on the right onto US 67 North toward Lindbergh Boulevard.', 'Turn right onto North Saint Jacques Street.', 'Turn left onto Saint Antoine Street.', 'Your destination is on the right.']"
260,"HUDSON REGIONAL HOSPITAL (SECAUCUS, NJ)","Morristown Municipal Airport (MORRISTOWN, NJ)","[-74.07323651, 40.79183031]","[-74.414949, 40.799062]",22,37,17,25.333333333333332,"['Drive northwest.', 'Turn left after 213 meters or 34-41 seconds.', 'Turn left onto Meadowlands Parkway.', 'Take the NJ 3 East ramp on the right.', 'Take the NJTP South/I 95 South exit on the right toward Secaucus.', 'Take the NJTP South/I 95 South ramp on the right toward Secaucus.', 'Keep left to take I 95 toward Secaucus Junction/Park-Ride/NJTP South.', 'Keep right to take I 95 South.', 'Take exit 14-14C on the right onto US 1/US 9 toward Newark Airport.', 'Keep right to take exit 14 onto I 78 West/US 1/US 9 toward Newark Airport.', 'Keep right to take Phillipsburg-Newark Expressway.', 'Keep right to take exit 48 onto NJ 24 West toward I 287/Springfield/Morristown.', 'Take exit 2B-A on the right onto CR 510 toward Florham Park.', 'Keep right to take exit 2B onto CR 510 East toward Florham Park.', 'Keep right to take CR 510 East toward Florham Park.', 'Bear right after 1130 meters or 45-55 seconds.', 'Turn left after 94 meters or 13-15 seconds.', 'Turn left after 166 meters or 22-27 seconds.', 'Turn left onto Columbia Turnpike/CR 510.', 'Turn right after 616 meters or 29-35 seconds.', 'Keep left at the fork.', 'You have arrived at your destination.']","['Drive northwest.', 'Turn left after 213 meters or 34-41 seconds.', 'Turn right onto Meadowlands Parkway.', 'Turn left onto American Way.', 'Turn right onto Hartz Way.', 'Turn left after 341 meters or 44-53 seconds.', 'Turn left onto Secaucus Road.', 'Turn right after 177 meters or 14-17 seconds.', 'Turn right onto Enterprise Avenue South.', 'Turn left after 402 meters or 47-58 seconds.', 'Turn left onto Metro Way.', 'Turn right onto County Avenue.', 'Turn left after 5 meters or 5-6 seconds.', 'Turn left after 9 meters or 4 seconds.', 'Turn right after 19 meters or 5-6 seconds.', 'Turn right after 39 meters or 9-11 seconds.', 'Turn left after 187 meters or 33-40 seconds.', 'Turn left after 36 meters or 8-9 seconds.', 'Turn right after 67 meters or 12-15 seconds.', 'Turn right to take the ramp toward Alexander Hamilton Service Area.', 'Take exit 15W on the right onto I 280 West toward Newark/Kearny.', 'Take exit 17B on the right onto CR 508 West toward Kearny.', 'Turn left onto McCarter Highway/NJ 21/CR 508.', 'Keep right to take Lombardy Street.', 'Turn right onto Lombardy Street.', 'Turn left onto Broad Street / Kenneth A. Gibson Boulevard.', 'Turn right after 15 meters or 3-4 seconds.', 'Bear right onto Washington Place.', 'Turn left onto Halsey Street.', 'Turn right onto Central Avenue/CR 508.', 'Turn left onto University Avenue.', 'Turn right onto Market Street/CR 510. Continue on Market Street.', 'Bear left onto Springfield Avenue/CR 510/CR 603.', 'Bear right onto South Orange Avenue/CR 510.', 'Turn right after 21819 meters or 1194-1460 seconds.', 'Keep left at the fork.', 'You have arrived at your destination.']","['Drive northwest.', 'Turn left after 213 meters or 34-41 seconds.', 'Turn left onto Meadowlands Parkway.', 'Take the NJTP/NJ 3 West ramp on the right.', 'Take the NJ 21 exit on the right toward Paterson/Newark.', 'Keep right to take NJ 21 South.', 'Keep right to take NJ 21 South toward Newark.', 'Turn right onto Center Street/CR 508. Continue on CR 508.', 'Turn left onto Carteret Place/CR 508. Continue on CR 508.', 'Turn right onto Valley Road/CR 508.', 'Bear right to stay on Valley Road/CR 508.', 'Turn left onto Whittingham Place/CR 508. Continue on CR 508.', 'Turn left onto Gregory Avenue/CR 577. Continue on CR 577.', 'Turn right onto South Orange Avenue/CR 510/CR 577.', 'Turn right after 13770 meters or 655-800 seconds.', 'Keep left at the fork.', 'You have arrived at your destination.']"
261,"Hartsfield Jackson Atlanta International Airport (ATLANTA, GA)","CLEARVIEW  REGIONAL MEDICAL CENTER (MONROE, GA)","[-84.428101, 33.6367]","[-83.75014125, 33.79894478]",15,22,16,17.666666666666668,"['Drive west on South Inner Loop Road.', 'Bear right onto Airport Boulevard.', 'Bear right to stay on Airport Boulevard.', 'Bear right toward I 85 South/I 85 North/I 285/I 20.', 'Keep left to take I 85 South toward I 85 South/I 285 South/Montgomery.', 'Take exit 70 on the right onto I 285 toward Macon.', 'Keep left to take I 285 East toward Macon.', 'Take exit 46B on the right onto I 20 East toward Augusta.', 'Keep left to take I 20 East toward Augusta.', 'Take exit 82 on the right onto GA 20/GA 138 toward Conyers/Monroe.', 'Turn left onto GA 20/GA 138/Walnut Grove Road. Continue on GA 138.', 'Turn left onto GA 10 Business.', 'Turn left after 517 meters or 31-38 seconds.', 'Turn left after 437 meters or 60-74 seconds.', 'You have arrived at your destination.']","['Drive east on South Inner Loop Road.', 'Turn left after 1473 meters or 191-233 seconds.', 'Turn left after 557 meters or 101-124 seconds.', 'Turn right after 157 meters or 23-28 seconds.', 'Bear right onto Maynard H Jackson Junior Boulevard.', 'Turn left after 3872 meters or 235-287 seconds.', 'Bear right after 59 meters or 8-10 seconds.', 'Bear left after 374 meters or 49-60 seconds.', 'Turn left onto Jonesboro Road/GA 54. Continue on GA 54.', 'Take the I 285 East ramp on the right.', 'Take exit 46B on the right onto I 20 East toward Augusta.', 'Keep left to take I 20 East toward Augusta.', 'Take exit 78 on the right toward Sigman Road.', 'Turn left onto Sigman Road Southwest.', 'Turn left onto GA 20.', 'Turn right onto Broad Street Northeast.', 'Turn left onto GA 138/Walnut Grove Road. Continue on GA 138.', 'Turn left after 25982 meters or 1001-1224 seconds.', 'Turn left onto GA 10 Business.', 'Turn left after 303 meters or 19-23 seconds.', 'Turn left after 437 meters or 60-74 seconds.', 'You have arrived at your destination.']","['Drive east on South Inner Loop Road.', 'Turn left after 1473 meters or 191-233 seconds.', 'Turn left after 557 meters or 101-124 seconds.', 'Turn right after 157 meters or 23-28 seconds.', 'Bear right onto Maynard H Jackson Junior Boulevard.', 'Turn right toward I 285 West/South Loop Road.', 'Keep left to stay on Airport Loop Road toward Clark Howell Highway.', 'Turn left to take the I 285 East ramp.', 'Keep left to take I 75 North toward US 19/US 41/Forest Park.', 'Keep right to take I 285 East toward US 19/US 41/Forest Park.', 'Keep left to take I 285 East toward Augusta/Greenville.', 'Take exit 39B on the right onto US 78 East toward Snellville/Athens.', 'Take the GA 10 Business exit on the right toward West Spring Street/Monroe.', 'Turn right after 708 meters or 31-37 seconds.', 'Turn left after 437 meters or 63-78 seconds.', 'You have arrived at your destination.']"
262,"Columbus Municipal Airport (COLUMBUS, IN)","Monroe County Airport (BLOOMINGTON, IN)","[-85.895576, 39.262386]","[-86.61669921875, 39.14599990844727]",17,25,17,19.666666666666668,"['Drive north.', 'Turn left after 987 meters or 128-156 seconds.', 'Turn left onto County Road 500 North.', 'Turn left onto River Road.', 'Turn right onto County Road 400 North.', 'Turn left onto US 31.', 'Turn right onto West Lowell Road.', 'Turn left onto County Road North 325 West.', 'Turn right onto Jonathan Moore Pike/SR 46. Continue on SR 46.', 'Turn left onto Van Buren Street/SR 46. Continue on SR 46.', 'Turn right to stay on SR 46.', 'Turn left to take the I 69 ramp.', 'Take exit 118 on the right.', 'Keep right to take SR 48.', 'Turn left onto South Kirby Road.', 'Turn right onto Airport Road.', 'You have arrived at your destination.']","['Drive north.', 'Turn left after 987 meters or 128-156 seconds.', 'Turn left onto County Road 500 North.', 'Turn left onto River Road.', 'Turn right onto County Road 400 North.', 'Turn left onto US 31.', 'Turn right onto Progress Road.', 'Turn left onto Progress Drive.', 'Turn right onto West Lowell Road.', 'Turn left onto County Road North 325 West.', 'Turn right onto Jonathan Moore Pike/SR 46. Continue on SR 46.', 'Turn left onto Van Buren Street/SR 46.', 'Turn right onto South Walnut Street.', 'Turn left onto West Kirkwood Avenue.', 'Turn left onto South Adams Street.', 'Turn left onto South Liberty Drive.', 'Turn right after 459 meters or 46-56 seconds.', 'Turn left after 78 meters or 18-21 seconds.', 'Turn right after 281 meters or 38-47 seconds.', 'Turn left onto South Curry Pike.', 'Turn right onto West Gifford Road.', 'Turn left to stay on West Gifford Road.', 'Turn right onto South Kirby Road.', 'Turn left onto Airport Road.', 'You have arrived at your destination.']","['Drive north.', 'Turn left after 987 meters or 128-156 seconds.', 'Turn right onto County Road 500 North.', 'Turn right onto Marr Road.', 'Keep left to stay on Marr Road.', 'Turn right to take the ramp.', 'Turn left to stay on Poshard Drive.', 'Turn left onto Central Avenue.', 'Bear right toward SR_46/3rd Street.', 'Turn left onto Van Buren Street/SR 46. Continue on SR 46.', 'Turn right to stay on SR 46.', 'Turn left to take the I 69 ramp.', 'Take exit 118 on the right.', 'Keep right to take SR 48.', 'Turn left onto South Kirby Road.', 'Turn right onto Airport Road.', 'You have arrived at your destination.']"
263,"Visitors Information Center (Portland, OR)","Hendershott, Dr. Harry M., House (Portland, OR)","[-122.6734659076239, 45.51489415]","[-122.7071614855464, 45.5290007]",15,14,9,12.666666666666666,"['Drive west.', 'Turn right onto Southwest Naito Parkway.', 'Turn left after 311 meters or 42-52 seconds.', 'Bear right onto Morrison Bridge.', 'Take the I 5 North ramp toward Seattle.', 'Keep left to take I 5 North toward Seattle.', 'Keep right to take exit 302B onto I 405 West/US 30 West toward Saint Helens.', 'Keep right to stay on US 30 toward Saint Helens/Northwest Industrial Area.', 'Take the exit on the right toward Vaughn Street.', 'Turn left onto Northwest 23rd Avenue.', 'Turn right onto Northwest Lovejoy Street.', 'Turn right toward Audubon Society of Portland/Macleay Park.', 'Turn left onto Northwest Westover Road.', 'Bear left onto Northwest Albemarle Terrace.', 'Your destination is on the left.']","['Drive west.', 'Turn right onto Southwest Naito Parkway.', 'Turn left onto Southwest Taylor Street.', 'Turn right onto Southwest 18th Avenue.', 'Turn left onto Southwest Morrison Street.', 'Turn right onto Southwest 20th Avenue.', 'Turn left onto West Burnside Street.', 'Turn right onto Northwest 23rd Place.', 'Turn left onto Northwest Westover Road.', 'Turn right to stay on Northwest Westover Road.', 'Turn left onto Northwest Marlborough Avenue.', 'Turn right onto Northwest Melinda Avenue.', 'Turn right onto Northwest Albemarle Terrace.', 'Your destination is on the right.']","['Drive west.', 'Turn right onto Southwest Naito Parkway.', 'Turn left onto Southwest Ash Street.', 'Turn right onto Southwest 2nd Avenue.', 'Turn left onto West Burnside Street.', 'Turn right onto Northwest Maywood Drive.', 'Turn left onto Northwest Melinda Avenue.', 'Turn right onto Northwest Albemarle Terrace.', 'Your destination is on the right.']"
264,"PHOENIX CHILDREN'S HOSPITAL AT DIGNITY HEALTH'S MERCY GILBERT (GILBERT, AZ)","St. Mary's Church (Phoenix, AZ)","[-111.7520389, 33.28713082]","[-112.0693927181416, 33.45075975]",12,40,21,24.333333333333332,"['Drive south.', 'Turn right onto South Mercy Road.', 'Turn right onto South Val Vista Drive.', 'Turn left to take the AZ 202 Loop West ramp.', 'Take exit 55C onto I 10 West.', 'Keep right to take US 60/Maricopa Freeway toward Flagstaff.', 'Take exit 195B on the right toward 7th Street/Central Avenue.', 'Turn right onto South 7th Street.', 'Turn left onto East Washington Street.', 'Turn right onto North 3rd Street.', 'Turn right after 323 meters or 43-53 seconds.', 'You have arrived at your destination.']","['Drive south.', 'Turn right after 157 meters or 26-31 seconds.', 'Turn right after 161 meters or 30-36 seconds.', 'Enter the roundabout and take the 2nd exit.', 'Turn right onto South Val Vista Drive.', 'Turn left onto East Los Alamos Street.', 'Turn right onto South Granite Street.', 'Turn left onto East Patrick Street.', 'Turn right onto South Ashland Ranch Road.', 'Turn left onto East Ray Road.', 'Turn right onto South Concord Street.', 'Turn right onto South Gilbert Road.', 'Turn left onto West Warner Road.', 'Turn right onto South Cooper Road.', 'Turn left onto West Bayshore Drive.', 'Turn right onto South Islands Drive East.', 'Turn right onto South Islands Drive.', 'Turn left onto East Elliot Road.', 'Turn right onto North McQueen Road.', 'Turn left onto West Guadalupe Road.', 'Turn right onto South Alma School Road.', 'Turn left onto West Medina Avenue.', 'Turn right onto South Patterson.', 'Turn right onto South Longmore.', 'Turn left onto West Baseline Road.', 'Turn right onto South Lakeshore Drive.', 'Turn right onto South Rural Road.', 'Turn left to take the US 60 West ramp toward Phoenix.', 'Take the exit on the right after 3370 meters or 116-141 seconds.', 'Keep left at the fork.', 'Keep left at the fork.', 'Keep left to take I 10/US 60/Maricopa Freeway.', 'Take exit 151 on the right toward University Drive/32nd Street.', 'Keep right to stay on US 60/Maricopa Freeway toward Flagstaff.', 'Take exit 195B on the right toward 7th Street/Central Avenue.', 'Turn right onto South 7th Street.', 'Turn left onto East Monroe Street.', 'Turn right onto North 3rd Street.', 'Turn right after 83 meters or 16-19 seconds.', 'You have arrived at your destination.']","['Drive south.', 'Turn right after 157 meters or 26-31 seconds.', 'Turn right after 161 meters or 30-36 seconds.', 'Enter the roundabout and take the 2nd exit.', 'Turn right onto South Val Vista Drive.', 'Turn left to take the AZ 202 Loop West ramp.', 'Take exit 55C onto I 10 West.', 'Keep left to take I 10/Papago Freeway.', 'Take exit 148 on the right toward Washington Street.', 'Keep left toward Washington Street.', 'Continue toward I 10 East.', 'Turn left onto East Washington Street.', 'Keep left to stay on East Washington Street.', 'Keep left to stay on East Washington Street.', 'Keep left to stay on East Washington Street.', 'Keep left to stay on East Washington Street.', 'Keep right to stay on East Washington Street.', 'Keep left to stay on East Washington Street.', 'Turn right onto North 3rd Street.', 'Turn right after 323 meters or 43-53 seconds.', 'You have arrived at your destination.']"
265,"Stettler, Frank C., House (Portland, OR)","US Post Office (The Dalles, OR)","[-122.70457860432155, 45.5294384]","[-121.184431, 45.602379]",13,19,14,15.333333333333334,"['Drive northeast on Northwest Lovejoy Street.', 'Turn left onto Northwest 23rd Avenue.', 'Turn right to take the ramp toward I 405.', 'Keep left to stay on US 30 toward The Dalles/Seattle.', 'Take the I 5 South exit toward The Dalles.', 'Take exit 301 on the right onto I 84/US 30 East toward The Dalles.', 'Keep left to stay on I 84 East.', 'Take exit 84 on the right onto US 30 east toward The Dalles City Center.', 'Bear right onto West 2nd Street/US 30. Continue on US 30.', 'Turn left onto West 3rd Street/US 30.', 'Turn left onto Union Street.', 'Turn left onto West 2nd Street/US 30.', 'Your destination is on the left.']","['Drive northeast on Northwest Lovejoy Street.', 'Bear left onto Broadway Bridge.', 'Turn left onto Northeast 24th Avenue.', 'Turn right onto Northeast Broadway.', 'Turn right onto Northeast 37th Avenue.', 'Keep left to take Northeast Halsey Street.', 'Turn left onto Northeast 238th Drive.', 'Turn right to take the I 84 East ramp toward Troutdale/Hood River.', 'Keep left to stay on I 84 East/US 30/Columbia River Highway.', 'Take exit 22 on the right toward Corbett.', 'Take exit 64 on the right onto OR 35 toward White Salmon/Government Camp.', 'Take exit 76 on the right toward Rowena.', 'Keep right to take I 84 East/Columbia River Highway toward Rowena.', 'Take exit 84 on the right onto US 30 east toward The Dalles City Center.', 'Bear right onto West 2nd Street/US 30. Continue on US 30.', 'Turn left after 657 meters or 29-35 seconds.', 'Turn left onto Union Street.', 'Turn left onto West 2nd Street/US 30.', 'Your destination is on the left.']","['Drive northeast on Northwest Lovejoy Street.', 'Turn left onto Northwest 23rd Avenue.', 'Turn right to take the ramp toward I 405.', 'Keep left to stay on US 30 toward The Dalles/Seattle.', 'Take the I 5 South exit toward The Dalles.', 'Take exit 301 on the right onto I 84/US 30 East toward The Dalles.', 'Keep left to stay on I 84 East.', 'Take exit 69 on the right toward Mosier.', 'Turn right onto Mosier-The Dalles Highway/US 30. Continue on US 30.', 'Turn left onto Webber Street/US 30.', 'Turn right onto West 2nd Street/US 30. Continue on US 30.', 'Turn left onto West 3rd Street/US 30. Continue on US 30.', 'Make a sharp left onto East 2nd Street/US 30. Continue on US 30.', 'Your destination is on the left.']"
266,"Harada House (Riverside, CA)","Torrey Pines Lodge (San Diego, CA)","[-117.369067795, 33.9851089]","[-117.247274, 32.915894]",16,23,11,16.666666666666668,"['Drive northeast on Lemon Street.', 'Turn left onto 3rd Street.', 'Turn right onto Main Street.', 'Turn right to take the CA 60 East ramp toward Indio.', 'Keep left to take I 215/CA 60/Escondido Freeway.', 'Keep right to stay on I 215/CA 60/Escondido Freeway.', 'Keep right to stay on I 215.', 'Keep right to take I 15 South/Avocado Highway.', 'Take exit 19 on the right onto CA 56 West toward Ted Williams Parkway.', 'Keep right to take CA 56 West.', 'Keep left to stay on CA 56/Ted Williams Freeway.', 'Keep left to stay on CA 56/Ted Williams Freeway.', 'Keep right to take exit 1B toward I 5 North/El Camino Real.', 'Continue on Carmel Valley Road.', 'Turn left onto North Torrey Pines Road/S21/US 101 Historic.', 'Your destination is on the right.']","['Drive northeast on Lemon Street.', 'Turn right onto 3rd Street.', 'Turn right to take the I 215 South/CA 60 East ramp toward San Diego/Indio.', 'Take exit 32A on the right toward Martin Luther King Boulevard.', 'Take exit 30B on the right toward Central Avenue/Watkins Drive.', 'Keep right to take I 215 Truck South/CA 60 Truck.', 'Keep right to stay on I 215 Truck South.', 'Take exit 22 on the right toward Ramona Expressway/Cajalco Expressway.', 'Take exit 19 on the right toward Nuevo Road.', 'Keep left to take exit 19 onto I 215/Escondido Freeway toward Nuevo Road.', 'Take exit 17 on the right onto CA 74 West toward Fourth Street.', 'Take exit 37 on the right toward Deer Springs Road/Mountain Meadow Road.', 'Turn right onto Deer Springs Road/S12. Continue on S12.', 'Turn right onto West San Marcos Boulevard/S12.', 'Turn left onto South Rancho Santa Fe Road/S10. Continue on S10.', 'Turn left onto Rancho Santa Fe Road/S10.', 'Turn left onto Manchester Avenue.', 'Turn right to take the I 5 South ramp toward San Diego.', 'Take exit 36 on the right toward Via de la Valle.', 'Turn right onto Via de la Valle/S6.', 'Turn left onto Jimmy Durante Boulevard.', 'Enter the roundabout and take the 2nd exit onto Jimmy Durante Boulevard.', 'Your destination is on the right.']","['Drive northeast on Lemon Street.', 'Turn right onto 3rd Street.', 'Turn right to take the I 215 South/CA 60 East ramp toward San Diego/Indio.', 'Keep left to stay on I 215/CA 60/Escondido Freeway.', 'Keep right to stay on I 215/CA 60/Escondido Freeway.', 'Keep right to stay on I 215.', 'Take exit 31 on the right toward Valley Parkway.', 'Turn right onto West Valley Parkway/S6. Continue on S6.', 'Turn left onto Via de la Valle/S6.', 'Turn left onto Camino del Mar/S21. Continue on S21.', 'Your destination is on the right.']"
267,"PHELPS MEMORIAL HEALTH CENTER (HOLDREGE, NE)","Ellen, Martha, Auditorium (Central City, NE)","[-99.3830701, 40.44788905]","[-98.0030265534977, 41.11480515]",10,16,8,11.333333333333334,"['Drive northeast.', 'Turn right onto West 14th Avenue.', 'Turn left onto Burlington Street/US 183. Continue on US 183.', 'Turn right to take the I 80 east ramp.', 'Take exit 314 on the right onto Locust Street toward Grand Island.', 'Turn left onto South Locust Street.', 'Turn right onto Highway 34/US 34/NE 2/I 80 Alt.', 'Turn left onto Husker Highway.', 'Turn right onto US 30/Highway 30. Continue on US 30.', 'Your destination is on the right.']","['Drive northeast.', 'Turn right onto West 14th Avenue.', 'Turn right onto Manor Drive.', 'Bear left onto Valerie Avenue.', 'Turn right after 168 meters or 16-19 seconds.', 'Turn left onto Pamela Avenue.', 'Turn right onto Lincoln Street.', 'Turn left onto 11th Avenue.', 'Turn right onto East Street.', 'Turn left onto US 6/US 34/4th Avenue. Continue on US 34.', 'Turn left onto North Brown Avenue/NE 10.', 'Turn right onto Highway 30/US 30/I 80 Alt. Continue on US 30/I 80 Alt.', 'Keep right to take West Old Highway 30.', 'Turn right onto US 30/Highway 30. Continue on US 30.', 'Turn left onto US 30/West 1st Street. Continue on US 30.', 'Your destination is on the right.']","['Drive northeast.', 'Turn right onto West 14th Avenue.', 'Turn left onto Burlington Street/US 183. Continue on US 183.', 'Turn right onto Link 10 E/NE 10E Link/I 80 Alt.', 'Turn left onto Highway 30/US 30/I 80 Alt. Continue on US 30/I 80 Alt.', 'Keep left to stay on US 30.', 'Turn left onto US 30/West 1st Street. Continue on US 30.', 'Your destination is on the right.']"
268,"Evans-Russell House (Spartanburg, SC)","SPRINGBROOK BEHAVIORAL HEALTH SYSTEM (TRAVELERS REST, SC)","[-81.9091393233397, 34.952516]","[-82.45473247, 34.9640711]",16,24,9,16.333333333333332,"['Drive southwest on Otis Boulevard.', 'Turn right onto Connecticut Avenue.', 'Turn left onto East Main Street/US 29.', 'Turn right onto East Saint John Street/US 29.', 'Turn right onto US 176/SC 9/North Pine Street. Continue on North Pine Street.', 'Take the I 85 Business South exit on the right toward Greenville.', 'Keep right to take exit 51B-C-A onto SC 146 toward Greenville.', 'Keep left to take I 385 North toward Greenville.', 'Keep right to take exit 51C onto I 385 North toward Greenville.', 'Take exit 40A on the right onto SC 291 North toward Pleasantburg Drive North.', 'Turn left to stay on North Pleasantburg Drive/SC 291.', 'Bear right to stay on North Pleasantburg Drive/SC 291.', 'Turn right onto US 276/Poinsett Highway. Continue on US 276.', 'Turn left onto McElhaney Road.', 'Turn right onto Havenwood Lane.', 'Your destination is on the left.']","['Drive southwest on Otis Boulevard.', 'Turn right onto South Fairview Avenue.', 'Turn left onto Norwood Street.', 'Turn right onto US 176/SC 9/South Pine Street.', 'Turn left onto East Kennedy Street.', 'Turn right onto South Church Street/US 221/SC 56.', 'Turn left onto West Broad Street.', 'Turn right onto South Daniel Morgan Avenue/SC 296.', 'Turn left onto West Main Street.', 'Turn right onto ONeal Road.', 'Turn left onto North Buncombe Road/SC290/SC101.', 'Turn right to stay on North Buncombe Road.', 'Bear left onto Locust Hill Road/SC 290.', 'Turn left onto L-151.', 'Bear right onto Lynn Road.', 'Turn right to take the ramp.', 'Turn left onto Sandy Flat Road/SC 253.', 'Keep right to take Jackson Grove Road.', 'Bear left onto Tigerville Road.', 'Turn left toward US 25 South.', 'Bear right toward Travelers Rest.', 'Bear right onto Center Street.', 'Turn right onto Havenwood Lane.', 'Your destination is on the left.']","['Drive southwest on Otis Boulevard.', 'Turn right onto US 176/SC 9/South Pine Street.', 'Turn left to take the I 85 South ramp toward Greenville.', 'Keep left to stay on I 85 South.', 'Take exit 48B on the right onto US 276 West toward Greenville.', 'Turn right onto US 276/Rutherford Street. Continue on US 276.', 'Turn left onto McElhaney Road.', 'Turn right onto Havenwood Lane.', 'Your destination is on the left.']"
